id,text,label,source
1,"[Illustration: GEORGE ALLEN PUBLISHER 156 CHARING CROSS ROAD LONDON RUSKIN HOUSE ] [Illustration: _Reading Jane’s Letters._ _Chap 34._ ] PRIDE. and PREJUDICE by Jane Austen, with a Preface by George Saintsbury and Illustrations by Hugh Thomson [Illustration: 1894] Ruskin 156. Charing House. Cross Road. London George Allen. CHISWICK PRESS:--CHARLES WHITTINGHAM AND CO. TOOKS COURT, CHANCERY LANE, LONDON. [Illustration: _To J. Comyns Carr in acknowledgment of all I owe to his friendship and advice, these illustrations are gratefully inscribed_ _Hugh Thomson_ ] PREFACE. [Illustration] _Walt Whitman has somewhere a fine and just distinction between “loving by allowance” and “loving with personal love.” This distinction applies to books as well as to men and women; and in the case of the not very numerous authors who are the objects of the personal affection, it brings a curious consequence with it. There is much more difference as to their best work than in the case of those others who are loved “by allowance” by convention, and because it is felt to be the right and proper thing to love them. And in the sect--fairly large and yet unusually choice--of Austenians or Janites, there would probably be found partisans of the claim to primacy of almost every one of the novels. To some the delightful freshness and humour of_ Northanger Abbey, _its completeness, finish, and_ entrain, _obscure the undoubted critical facts that its scale is small, and its scheme, after all, that of burlesque or parody, a kind in which the first rank is reached with difficulty._ Persuasion, _relatively faint in tone, and not enthralling in interest, has devotees who exalt above all the others its exquisite delicacy and keeping. The catastrophe of_ Mansfield Park _is admittedly theatrical, the hero and heroine are insipid, and the author has almost wickedly destroyed all romantic interest by expressly admitting that Edmund only took Fanny because Mary shocked him, and that Fanny might very likely have taken Crawford if he had been a little more assiduous; yet the matchless rehearsal-scenes and the characters of Mrs. Norris and others have secured, I believe, a considerable party for it._ Sense and Sensibility _has perhaps the fewest out-and-out admirers; but it does not want them._ _I suppose, however, that the majority of at least competent votes would, all things considered, be divided between_ Emma _and the present book; and perhaps the vulgar verdict (if indeed a fondness for Miss Austen",0,Project Gutenberg
2,"be not of itself a patent of exemption from any possible charge of vulgarity) would go for_ Emma. _It is the larger, the more varied, the more popular; the author had by the time of its composition seen rather more of the world, and had improved her general, though not her most peculiar and characteristic dialogue; such figures as Miss Bates, as the Eltons, cannot but unite the suffrages of everybody. On the other hand, I, for my part, declare for_ Pride and Prejudice _unhesitatingly. It seems to me the most perfect, the most characteristic, the most eminently quintessential of its author’s works; and for this contention in such narrow space as is permitted to me, I propose here to show cause._ _In the first place, the book (it may be barely necessary to remind the reader) was in its first shape written very early, somewhere about 1796, when Miss Austen was barely twenty-one; though it was revised and finished at Chawton some fifteen years later, and was not published till 1813, only four years before her death. I do not know whether, in this combination of the fresh and vigorous projection of youth, and the critical revision of middle life, there may be traced the distinct superiority in point of construction, which, as it seems to me, it possesses over all the others. The plot, though not elaborate, is almost regular enough for Fielding; hardly a character, hardly an incident could be retrenched without loss to the story. The elopement of Lydia and Wickham is not, like that of Crawford and Mrs. Rushworth, a_ coup de théâtre; _it connects itself in the strictest way with the course of the story earlier, and brings about the denouement with complete propriety. All the minor passages--the loves of Jane and Bingley, the advent of Mr. Collins, the visit to Hunsford, the Derbyshire tour--fit in after the same unostentatious, but masterly fashion. There is no attempt at the hide-and-seek, in-and-out business, which in the transactions between Frank Churchill and Jane Fairfax contributes no doubt a good deal to the intrigue of_ Emma, _but contributes it in a fashion which I do not think the best feature of that otherwise admirable book. Although Miss Austen always liked something of the misunderstanding kind, which afforded her opportunities for the display of the peculiar and incomparable talent to be noticed presently, she has been satisfied here",0,Project Gutenberg
3,"with the perfectly natural occasions provided by the false account of Darcy’s conduct given by Wickham, and by the awkwardness (arising with equal naturalness) from the gradual transformation of Elizabeth’s own feelings from positive aversion to actual love. I do not know whether the all-grasping hand of the playwright has ever been laid upon_ Pride and Prejudice; _and I dare say that, if it were, the situations would prove not startling or garish enough for the footlights, the character-scheme too subtle and delicate for pit and gallery. But if the attempt were made, it would certainly not be hampered by any of those loosenesses of construction, which, sometimes disguised by the conveniences of which the novelist can avail himself, appear at once on the stage._ _I think, however, though the thought will doubtless seem heretical to more than one school of critics, that construction is not the highest merit, the choicest gift, of the novelist. It sets off his other gifts and graces most advantageously to the critical eye; and the want of it will sometimes mar those graces--appreciably, though not quite consciously--to eyes by no means ultra-critical. But a very badly-built novel which excelled in pathetic or humorous character, or which displayed consummate command of dialogue--perhaps the rarest of all faculties--would be an infinitely better thing than a faultless plot acted and told by puppets with pebbles in their mouths. And despite the ability which Miss Austen has shown in working out the story, I for one should put_ Pride and Prejudice _far lower if it did not contain what seem to me the very masterpieces of Miss Austen’s humour and of her faculty of character-creation--masterpieces who may indeed admit John Thorpe, the Eltons, Mrs. Norris, and one or two others to their company, but who, in one instance certainly, and perhaps in others, are still superior to them._ _The characteristics of Miss Austen’s humour are so subtle and delicate that they are, perhaps, at all times easier to apprehend than to express, and at any particular time likely to be differently apprehended by different persons. To me this humour seems to possess a greater affinity, on the whole, to that of Addison than to any other of the numerous species of this great British genus. The differences of scheme, of time, of subject, of literary convention, are, of course, obvious enough; the difference of sex does not, perhaps,",0,Project Gutenberg
4,"count for much, for there was a distinctly feminine element in “Mr. Spectator,” and in Jane Austen’s genius there was, though nothing mannish, much that was masculine. But the likeness of quality consists in a great number of common subdivisions of quality--demureness, extreme minuteness of touch, avoidance of loud tones and glaring effects. Also there is in both a certain not inhuman or unamiable cruelty. It is the custom with those who judge grossly to contrast the good nature of Addison with the savagery of Swift, the mildness of Miss Austen with the boisterousness of Fielding and Smollett, even with the ferocious practical jokes that her immediate predecessor, Miss Burney, allowed without very much protest. Yet, both in Mr. Addison and in Miss Austen there is, though a restrained and well-mannered, an insatiable and ruthless delight in roasting and cutting up a fool. A man in the early eighteenth century, of course, could push this taste further than a lady in the early nineteenth; and no doubt Miss Austen’s principles, as well as her heart, would have shrunk from such things as the letter from the unfortunate husband in the_ Spectator, _who describes, with all the gusto and all the innocence in the world, how his wife and his friend induce him to play at blind-man’s-buff. But another_ Spectator _letter--that of the damsel of fourteen who wishes to marry Mr. Shapely, and assures her selected Mentor that “he admires your_ Spectators _mightily”--might have been written by a rather more ladylike and intelligent Lydia Bennet in the days of Lydia’s great-grandmother; while, on the other hand, some (I think unreasonably) have found “cynicism” in touches of Miss Austen’s own, such as her satire of Mrs. Musgrove’s self-deceiving regrets over her son. But this word “cynical” is one of the most misused in the English language, especially when, by a glaring and gratuitous falsification of its original sense, it is applied, not to rough and snarling invective, but to gentle and oblique satire. If cynicism means the perception of “the other side,” the sense of “the accepted hells beneath,” the consciousness that motives are nearly always mixed, and that to seem is not identical with to be--if this be cynicism, then every man and woman who is not a fool, who does not care to live in a fool’s paradise, who has knowledge of nature and the world and life, is a",0,Project Gutenberg
5,"cynic. And in that sense Miss Austen certainly was one. She may even have been one in the further sense that, like her own Mr. Bennet, she took an epicurean delight in dissecting, in displaying, in setting at work her fools and her mean persons. I think she did take this delight, and I do not think at all the worse of her for it as a woman, while she was immensely the better for it as an artist._ _In respect of her art generally, Mr. Goldwin Smith has truly observed that “metaphor has been exhausted in depicting the perfection of it, combined with the narrowness of her field;” and he has justly added that we need not go beyond her own comparison to the art of a miniature painter. To make this latter observation quite exact we must not use the term miniature in its restricted sense, and must think rather of Memling at one end of the history of painting and Meissonier at the other, than of Cosway or any of his kind. And I am not so certain that I should myself use the word “narrow” in connection with her. If her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness. She does not touch what she did not feel herself called to paint; I am not so sure that she could not have painted what she did not feel herself called to touch. It is at least remarkable that in two very short periods of writing--one of about three years, and another of not much more than five--she executed six capital works, and has not left a single failure. It is possible that the romantic paste in her composition was defective: we must always remember that hardly anybody born in her decade--that of the eighteenth-century seventies--independently exhibited the full romantic quality. Even Scott required hill and mountain and ballad, even Coleridge metaphysics and German to enable them to chip the classical shell. Miss Austen was an English girl, brought up in a country retirement, at the time when ladies went back into the house if there was a white frost which might pierce their kid shoes, when a sudden cold was the subject of the gravest fears, when their studies, their ways, their conduct were subject to all those fantastic limits and restrictions against which Mary Wollstonecraft protested",0,Project Gutenberg
6,"with better general sense than particular taste or judgment. Miss Austen, too, drew back when the white frost touched her shoes; but I think she would have made a pretty good journey even in a black one._ _For if her knowledge was not very extended, she knew two things which only genius knows. The one was humanity, and the other was art. On the first head she could not make a mistake; her men, though limited, are true, and her women are, in the old sense, “absolute.” As to art, if she has never tried idealism, her realism is real to a degree which makes the false realism of our own day look merely dead-alive. Take almost any Frenchman, except the late M. de Maupassant, and watch him laboriously piling up strokes in the hope of giving a complete impression. You get none; you are lucky if, discarding two-thirds of what he gives, you can shape a real impression out of the rest. But with Miss Austen the myriad, trivial, unforced strokes build up the picture like magic. Nothing is false; nothing is superfluous. When (to take the present book only) Mr. Collins changed his mind from Jane to Elizabeth “while Mrs. Bennet was stirring the fire” (and we know_ how _Mrs. Bennet would have stirred the fire), when Mr. Darcy “brought his coffee-cup back_ himself,” _the touch in each case is like that of Swift--“taller by the breadth of my nail”--which impressed the half-reluctant Thackeray with just and outspoken admiration. Indeed, fantastic as it may seem, I should put Miss Austen as near to Swift in some ways, as I have put her to Addison in others._ _This Swiftian quality appears in the present novel as it appears nowhere else in the character of the immortal, the ineffable Mr. Collins. Mr. Collins is really_ great; _far greater than anything Addison ever did, almost great enough for Fielding or for Swift himself. It has been said that no one ever was like him. But in the first place,_ he _was like him; he is there--alive, imperishable, more real than hundreds of prime ministers and archbishops, of “metals, semi-metals, and distinguished philosophers.” In the second place, it is rash, I think, to conclude that an actual Mr. Collins was impossible or non-existent at the end of the eighteenth century. It is very interesting that we possess, in this same gallery, what",0,Project Gutenberg
7,"may be called a spoiled first draught, or an unsuccessful study of him, in John Dashwood. The formality, the under-breeding, the meanness, are there; but the portrait is only half alive, and is felt to be even a little unnatural. Mr. Collins is perfectly natural, and perfectly alive. In fact, for all the “miniature,” there is something gigantic in the way in which a certain side, and more than one, of humanity, and especially eighteenth-century humanity, its Philistinism, its well-meaning but hide-bound morality, its formal pettiness, its grovelling respect for rank, its materialism, its selfishness, receives exhibition. I will not admit that one speech or one action of this inestimable man is incapable of being reconciled with reality, and I should not wonder if many of these words and actions are historically true._ _But the greatness of Mr. Collins could not have been so satisfactorily exhibited if his creatress had not adjusted so artfully to him the figures of Mr. Bennet and of Lady Catherine de Bourgh. The latter, like Mr. Collins himself, has been charged with exaggeration. There is, perhaps, a very faint shade of colour for the charge; but it seems to me very faint indeed. Even now I do not think that it would be impossible to find persons, especially female persons, not necessarily of noble birth, as overbearing, as self-centred, as neglectful of good manners, as Lady Catherine. A hundred years ago, an earl’s daughter, the Lady Powerful (if not exactly Bountiful) of an out-of-the-way country parish, rich, long out of marital authority, and so forth, had opportunities of developing these agreeable characteristics which seldom present themselves now. As for Mr. Bennet, Miss Austen, and Mr. Darcy, and even Miss Elizabeth herself, were, I am inclined to think, rather hard on him for the “impropriety” of his conduct. His wife was evidently, and must always have been, a quite irreclaimable fool; and unless he had shot her or himself there was no way out of it for a man of sense and spirit but the ironic. From no other point of view is he open to any reproach, except for an excusable and not unnatural helplessness at the crisis of the elopement, and his utterances are the most acutely delightful in the consciously humorous kind--in the kind that we laugh with, not at--that even Miss Austen has put into the mouth of any of her characters.",0,Project Gutenberg
8,"It is difficult to know whether he is most agreeable when talking to his wife, or when putting Mr. Collins through his paces; but the general sense of the world has probably been right in preferring to the first rank his consolation to the former when she maunders over the entail, “My dear, do not give way to such gloomy thoughts. Let us hope for better things. Let us flatter ourselves that_ I _may be the survivor;” and his inquiry to his colossal cousin as to the compliments which Mr. Collins has just related as made by himself to Lady Catherine, “May I ask whether these pleasing attentions proceed from the impulse of the moment, or are the result of previous study?” These are the things which give Miss Austen’s readers the pleasant shocks, the delightful thrills, which are felt by the readers of Swift, of Fielding, and we may here add, of Thackeray, as they are felt by the readers of no other English author of fiction outside of these four._ _The goodness of the minor characters in_ Pride and Prejudice _has been already alluded to, and it makes a detailed dwelling on their beauties difficult in any space, and impossible in this. Mrs. Bennet we have glanced at, and it is not easy to say whether she is more exquisitely amusing or more horribly true. Much the same may be said of Kitty and Lydia; but it is not every author, even of genius, who would have differentiated with such unerring skill the effects of folly and vulgarity of intellect and disposition working upon the common weaknesses of woman at such different ages. With Mary, Miss Austen has taken rather less pains, though she has been even more unkind to her; not merely in the text, but, as we learn from those interesting traditional appendices which Mr. Austen Leigh has given us, in dooming her privately to marry “one of Mr. Philips’s clerks.” The habits of first copying and then retailing moral sentiments, of playing and singing too long in public, are, no doubt, grievous and criminal; but perhaps poor Mary was rather the scapegoat of the sins of blue stockings in that Fordyce-belectured generation. It is at any rate difficult not to extend to her a share of the respect and affection (affection and respect of a peculiar kind; doubtless), with which one regards Mr. Collins, when",0,Project Gutenberg
9,"she draws the moral of Lydia’s fall. I sometimes wish that the exigencies of the story had permitted Miss Austen to unite these personages, and thus at once achieve a notable mating and soothe poor Mrs. Bennet’s anguish over the entail._ _The Bingleys and the Gardiners and the Lucases, Miss Darcy and Miss de Bourgh, Jane, Wickham, and the rest, must pass without special comment, further than the remark that Charlotte Lucas (her egregious papa, though delightful, is just a little on the thither side of the line between comedy and farce) is a wonderfully clever study in drab of one kind, and that Wickham (though something of Miss Austen’s hesitation of touch in dealing with young men appears) is a not much less notable sketch in drab of another. Only genius could have made Charlotte what she is, yet not disagreeable; Wickham what he is, without investing him either with a cheap Don Juanish attractiveness or a disgusting rascality. But the hero and the heroine are not tints to be dismissed._ _Darcy has always seemed to me by far the best and most interesting of Miss Austen’s heroes; the only possible competitor being Henry Tilney, whose part is so slight and simple that it hardly enters into comparison. It has sometimes, I believe, been urged that his pride is unnatural at first in its expression and later in its yielding, while his falling in love at all is not extremely probable. Here again I cannot go with the objectors. Darcy’s own account of the way in which his pride had been pampered, is perfectly rational and sufficient; and nothing could be, psychologically speaking, a_ causa verior _for its sudden restoration to healthy conditions than the shock of Elizabeth’s scornful refusal acting on a nature_ ex hypothesi _generous. Nothing in even our author is finer and more delicately touched than the change of his demeanour at the sudden meeting in the grounds of Pemberley. Had he been a bad prig or a bad coxcomb, he might have been still smarting under his rejection, or suspicious that the girl had come husband-hunting. His being neither is exactly consistent with the probable feelings of a man spoilt in the common sense, but not really injured in disposition, and thoroughly in love. As for his being in love, Elizabeth has given as just an exposition of the causes of that phenomenon as Darcy",0,Project Gutenberg
10,"has of the conditions of his unregenerate state, only she has of course not counted in what was due to her own personal charm._ _The secret of that charm many men and not a few women, from Miss Austen herself downwards, have felt, and like most charms it is a thing rather to be felt than to be explained. Elizabeth of course belongs to the_ allegro _or_ allegra _division of the army of Venus. Miss Austen was always provokingly chary of description in regard to her beauties; and except the fine eyes, and a hint or two that she had at any rate sometimes a bright complexion, and was not very tall, we hear nothing about her looks. But her chief difference from other heroines of the lively type seems to lie first in her being distinctly clever--almost strong-minded, in the better sense of that objectionable word--and secondly in her being entirely destitute of ill-nature for all her propensity to tease and the sharpness of her tongue. Elizabeth can give at least as good as she gets when she is attacked; but she never “scratches,” and she never attacks first. Some of the merest obsoletenesses of phrase and manner give one or two of her early speeches a slight pertness, but that is nothing, and when she comes to serious business, as in the great proposal scene with Darcy (which is, as it should be, the climax of the interest of the book), and in the final ladies’ battle with Lady Catherine, she is unexceptionable. Then too she is a perfectly natural girl. She does not disguise from herself or anybody that she resents Darcy’s first ill-mannered personality with as personal a feeling. (By the way, the reproach that the ill-manners of this speech are overdone is certainly unjust; for things of the same kind, expressed no doubt less stiltedly but more coarsely, might have been heard in more than one ball-room during this very year from persons who ought to have been no worse bred than Darcy.) And she lets the injury done to Jane and the contempt shown to the rest of her family aggravate this resentment in the healthiest way in the world._ _Still, all this does not explain her charm, which, taking beauty as a common form of all heroines, may perhaps consist in the addition to her playfulness, her wit, her affectionate and natural disposition,",0,Project Gutenberg
